Level 1,Level 2 ,Cell Type ,Effect ID,Experiment ID,Term,platform_id,comparison_id,Estimate,-log(FDR),stage,Group Size,Disease Name,fdr
Epithelial,Epithelial cell,basal cell of epidermis,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.002204317,0.492664633,datasets,10 | 10,atopic,0.321614312
Epithelial,Epithelial cell,keratinocyte,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.006096933,0.351196605,datasets,10 | 10,atopic,0.445454545
Immune,B cell,plasma cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.000799918,0.472972419,datasets,10 | 10,atopic,0.336532941
Immune,B cell,B cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.000799918,0.472972419,datasets,10 | 10,atopic,0.336532941
Immune,Dendritic cell,conventional dendritic cell 2,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.004088514,1.517635690,datasets,10 | 10,atopic,0.030364372
Immune,Dendritic cell,migratory conventional dendritic cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.001990787,0.722229707,datasets,10 | 10,atopic,0.189570298
Immune,Dendritic cell,Langerhans cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.000823345,0.492664633,datasets,10 | 10,atopic,0.321614312
Immune,Dendritic cell,dendritic cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.001891017,0.352502323,datasets,10 | 10,atopic,0.444117286
Immune,Granulocyte,mast cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.000477601,0.702098189,datasets,10 | 10,atopic,0.198564593
Immune,Granulocyte,granulocyte,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.000477601,0.702098189,datasets,10 | 10,atopic,0.198564593
Immune,Innate lymphoid cell,natural killer cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.002990549,0.895103205,datasets,10 | 10,atopic,0.127320048
Immune,Innate lymphoid cell,innate lymphoid cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,3.244172952e-10,0,datasets,10 | 10,atopic,1
Immune,Macrophage,macrophage,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.015781551,3.066112853,datasets,10 | 10,atopic,0.000858790
Immune,Monocyte,monocyte,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-1.935763953e-08,0.187330016,datasets,10 | 10,atopic,0.649635851
Immune,T cell,CD4+ T cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.004390726,3.066112853,datasets,10 | 10,atopic,0.000858790
Immune,T cell,regulatory T cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.004397837,2.511104823,datasets,10 | 10,atopic,0.003082444
Immune,T cell,CD4+ memory T cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.000653214,0.591513241,datasets,10 | 10,atopic,0.256145517
Immune,T cell,effector memory CD8+ T cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,1.987505942e-08,0.385184922,datasets,10 | 10,atopic,0.411922086
Immune,T cell,resident memory CD8+ T cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.000112053,0.351196605,datasets,10 | 10,atopic,0.445454545
Immune,T cell,CD8+ T cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.000112018,0.351196605,datasets,10 | 10,atopic,0.445454545
Stromal,Endothelial cell,lymphatic endothelial cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.003607766,1.449357807,datasets,10 | 10,atopic,0.035533844
Stromal,Endothelial cell,capillary endothelial cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.002065606,0.492664633,datasets,10 | 10,atopic,0.321614312
Stromal,Endothelial cell,artery endothelial cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-2.349001417e-07,0.492664633,datasets,10 | 10,atopic,0.321614312
Stromal,Endothelial cell,endothelial cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.001540479,0.320523629,datasets,10 | 10,atopic,0.478053356
Stromal,Endothelial cell,vein endothelial cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-2.146032720e-08,0.291299464,datasets,10 | 10,atopic,0.511329131
Stromal,Fibroblast,structural skin fibroblast,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.029161702,3.066112853,datasets,10 | 10,atopic,0.000858790
Stromal,Fibroblast,fibroblast,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.020947260,3.053878397,datasets,10 | 10,atopic,0.000883327
Stromal,Fibroblast,inflammatory skin fibroblast,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.006875627,2.511104823,datasets,10 | 10,atopic,0.003082444
Stromal,Stromal cell,pericyte,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.003039584,1.380691037,datasets,10 | 10,atopic,0.041620660
Stromal,Stromal cell,noncontractile pericyte,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.000991997,0.722229707,datasets,10 | 10,atopic,0.189570298
,,contractile pericyte,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.000578429,0.302556547,datasets,25 | 8,atopic,0.498245578
